Entry ID,[Filter],Entry JP Name,[Entry US Name],Width,Depth,Element ID,[Element Name],Pad 1,Pad 2,Movement Flags,[May Dodge],[Unk Damage],[Unk Ranged],[Unk Melee],[Ranged Atk],[Melee Atk],[Ranged Only],[Take Cover],[In Air],[On Ground],[Reserved],[May Move],Counter%,EXP,Gold,Pad 3,Pad 4,MAXHP,Unk 1,Green,Red,Purple,Blue,Yellow,Silver,Poison,Unconscious,Stone,Sleep,Confusion,Silence,Fatigue,Revival,Weak,State 10,State 11,State 12,State 13,State 14,State 15,Danger,Effect ID,[Effect Name],State ID,[State Name],State Miss%,Pad 5,Level,Will,Vigor,Agile,Quick,Attack,Defense,MagDef,Hit%,Dodge%,Pad 6,Pad 7,Item 1 Prob,Item 1 Amount,Item 1 ID,[Item 1 Name],Item 2 Prob,Item 2 Amount,Item 2 ID,[Item 2 Name],Item 3 Prob,Item 3 Amount,Item 3 ID,[Item 3 Name],Item 4 Prob,Item 4 Amount,Item 4 ID,[Item 4 Name]
0,*,Soldier,Soldier,1,1,4,Yellow,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,10,1,13,-1,-1,70,18.0,12,10,8,10,8,12,12,12,10,10,8,0,0,0,8,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,2,20,16,10,24,51,45,43,95,15,-1,-1,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
0,epevent.evp,Soldier,Soldier,1,1,4,Yellow,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,10,0,13,-1,-1,60,18.0,12,10,8,10,8,12,12,12,10,10,8,0,0,0,8,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,1,16,13,10,20,45,42,40,95,15,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
1,*,Guard,Guard,1,1,4,Yellow,-1,-1,0b111111000101,X,X,X,X,X,X,"","","",X,"",X,15,1,9,-1,-1,38,18.0,12,10,8,10,8,12,12,12,10,10,8,0,0,0,8,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,2,20,15,15,25,44,38,38,105,15,-1,-1,5,1,240,Sacri Crystal,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
1,epevent.evp,Guard,Guard,1,1,4,Yellow,-1,-1,0b111111000101,X,X,X,X,X,X,"","","",X,"",X,15,0,9,-1,-1,38,18.0,12,10,8,10,8,12,12,12,10,10,8,0,0,0,8,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,1,16,12,15,21,38,38,38,105,15,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
2,*,Seeker,Seeker,1,1,5,Silver,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,15,1,62,-1,-1,138,18.0,6,10,10,12,14,8,0,0,10,0,0,0,0,0,20,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,3,30,25,5,29,78,73,84,90,10,-1,-1,3,1,240,Sacri Crystal,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
2,epevent.evp,Seeker,Seeker,1,1,5,Silver,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,15,1,62,-1,-1,221,18.0,6,10,10,12,14,8,0,0,10,0,0,0,0,0,20,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,3,30,25,5,29,78,73,84,90,10,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
3,*,Marocca,Marocca,1,1,1,Red,-1,-1,0b111111110111,X,X,X,X,X,X,X,X,"",X,X,X,5,1,16,-1,-1,117,18.0,8,8,12,12,10,10,8,10,10,12,12,0,0,0,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,3,25,5,20,20,63,81,55,80,5,-1,-1,6,1,170,Marocca's Shell,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
4,*,Grouder,Grouder,3,3,2,Purple,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,25,2,48,-1,-1,586,18.0,10,12,8,8,12,10,40,10,10,5,5,5,0,0,40,10,10,10,10,10,10,1000,70,Confusion + Damage,4,Confusion,40,-1,3,36,42,10,27,69,74,87,80,5,-1,-1,4,1,21,Throwing Blade,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
4,epevent.evp,Grouder,Grouder,3,3,2,Purple,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,25,2,48,-1,-1,586,18.0,10,12,8,8,12,10,40,10,10,5,5,5,0,0,40,10,10,10,10,10,10,1000,70,Confusion + Damage,4,Confusion,40,-1,3,36,42,10,27,69,74,87,80,5,-1,-1,100,1,21,Throwing Blade,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
7,*,Spell Warden,Spell Warden,1,1,4,Yellow,-1,-1,0b111111110101,X,X,X,X,X,X,X,X,"",X,"",X,5,1,54,-1,-1,483,18.0,12,10,8,10,8,12,20,0,0,10,0,0,0,0,5,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,5,64,30,5,43,70,80,140,70,25,-1,-1,50,1,244,Magic Droplet,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
8,*,Flestik,Flestik,1,1,3,Blue,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,15,1,18,-1,-1,68,18.0,12,6,14,10,10,8,12,8,10,0,12,0,0,0,10,10,10,10,10,10,10,500,69,Sleep + Damage,3,Sleep,40,-1,3,28,19,10,32,61,70,70,85,5,-1,-1,3,1,249,Curia Crystal,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
9,*,Basallish,Basallish,1,1,3,Blue,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,20,1,24,-1,-1,135,18.0,14,6,14,10,10,6,12,8,10,10,12,0,0,0,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,4,38,28,15,33,80,106,65,100,20,-1,-1,1,1,267,Pyri Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
10,*,Mind Stealer,Mind Stealer,1,1,0,Green,-1,-1,0b111111000101,X,X,X,X,X,X,"","","",X,"",X,15,1,41,-1,-1,825,18.0,0,20,10,5,5,20,0,20,10,5,10,0,0,0,5,10,10,10,10,10,10,800,4,Poison + Damage,0,Poison,60,-1,4,40,54,15,23,99,87,70,75,5,-1,-1,3,1,249,Curia Crystal,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
11,*,Walrenk,Walrenk,3,3,2,Purple,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,15,285,193,-1,-1,417,18.0,11,14,7,9,10,10,11,10,10,9,9,10,0,0,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,23,122,64,15,68,221,194,194,80,5,-1,-1,2,1,279,Panika Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
12,*,Varkris,Varkris,1,1,3,Blue,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,10,16,62,-1,-1,236,18.0,12,8,12,10,8,10,20,10,8,10,12,12,0,0,8,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,7,80,56,5,47,117,116,116,100,25,-1,-1,3,1,173,Hunter's Hand,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
13,*,Azbeth,Azbeth,1,1,3,Blue,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,10,8,35,-1,-1,145,18.0,12,8,12,10,10,8,12,0,10,10,12,12,0,0,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,6,51,36,15,48,97,97,86,100,20,-1,-1,2,1,183,Silvite Ring,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
14,*,Zivilyn Bane,Zivilyn Bane,1,1,1,Red,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,20,149,1898,-1,-1,1362,18.0,8,8,12,12,10,10,8,0,0,12,0,0,0,0,0,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,6,57,51,20,59,139,95,149,115,20,-1,-1,10,1,263,Dexus Seed,33,1,260,Paranta Seed,50,1,261,Icyl Seed,100,1,262,Zaal Seed
15,*,Ghastling,Ghastling,1,1,3,Blue,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,5,1,8,-1,-1,83,18.0,12,6,14,10,10,8,12,8,10,10,14,0,0,0,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,3,25,64,5,30,57,64,64,90,15,-1,-1,3,1,240,Sacri Crystal,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
16,*,Florast,Florast,1,1,2,Purple,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,10,301,72,-1,-1,99,18.0,11,14,7,9,10,10,11,10,10,9,5,10,0,0,10,10,10,10,10,10,10,400,70,Confusion + Damage,4,Confusion,70,-1,28,132,76,10,115,256,204,256,75,10,-1,-1,1,1,190,Constitution Gem,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
17,*,Tsirat,Tsirat,1,1,4,Yellow,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,15,1,21,-1,-1,117,18.0,12,10,8,10,8,12,12,20,10,10,5,5,0,0,5,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,4,40,70,15,40,68,76,76,90,20,-1,-1,1,1,273,Electri Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
18,*,Thorkyn,Thorkryn,1,1,3,Blue,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,10,1,30,-1,-1,400,18.0,12,8,14,10,10,6,12,6,6,10,14,0,0,0,10,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,4,35,29,10,33,71,55,55,85,25,-1,-1,3,1,168,Throkryn's Scale,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
19,*,Scorfly,Scorfly,1,1,2,Purple,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,25,1,44,-1,-1,173,18.0,10,14,6,6,14,10,10,10,16,4,4,0,0,0,16,10,10,10,10,10,10,500,71,Silence + Damage,5,Silence,40,-1,4,36,30,25,36,77,92,55,95,15,-1,-1,3,1,187,Revered Voice,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
20,*,Centralk,Centralk,1,1,3,Blue,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,15,259,645,-1,-1,187,18.0,11,9,11,10,9,10,22,20,20,0,22,0,0,0,18,10,10,10,10,10,10,500,69,Sleep + Damage,3,Sleep,40,-1,23,86,57,10,97,206,194,151,85,160,-1,-1,5,1,8,Sword of Daccat,5,1,69,Daccat Custom,1,1,258,Moonberry,-1,-1,-1,None
21,*,Feralisk,Feralisk,1,1,0,Green,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,20,228,155,-1,-1,217,18.0,10,20,5,5,20,10,9,10,10,9,9,10,0,0,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,23,115,72,10,116,221,216,216,105,20,-1,-1,4,1,136,Light Coat,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
22,*,Ferlith,Ferlith,1,1,0,Green,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,20,26,109,-1,-1,610,18.0,10,12,8,8,12,10,8,10,10,8,8,8,0,0,12,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,9,155,64,10,60,138,120,120,105,20,-1,-1,2,1,134,Female Armor,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
23,*,Crylhound,Crylhound,1,1,4,Yellow,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,15,1,33,-1,-1,154,18.0,12,10,8,10,8,12,14,14,10,10,6,6,0,0,6,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,4,50,23,15,36,90,86,101,110,30,-1,-1,3,1,172,Crylhound's Claw,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
24,*,Magma Tiki,Magma Tiki,1,1,1,Red,-1,-1,0b011111000000,"",X,X,X,X,X,"","","","","","",5,12,118,-1,-1,630,18.0,8,6,14,12,10,10,0,10,0,12,0,0,0,0,10,10,10,10,10,10,10,500,8,Stone + Damage,2,Stone,70,-1,6,57,57,5,43,125,101,98,85,0,-1,-1,2,1,184,Gem of Fluidity,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
25,*,Salamander,Salamander,1,1,1,Red,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,10,9,47,-1,-1,258,18.0,8,6,14,12,10,10,8,10,6,12,14,14,0,0,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,6,96,48,5,42,104,101,144,90,5,-1,-1,2,1,133,Flame Mantle,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
26,*,Baroo,Baroo,1,1,1,Red,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,20,143,96,-1,-1,120,18.0,9,7,14,11,10,10,9,10,10,11,11,0,0,0,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,23,86,64,15,126,191,194,194,100,20,-1,-1,1,1,268,Pyrum Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
27,*,Dung Fly,Dung Fly,1,1,3,Blue,-1,-1,0b111111110101,X,X,X,X,X,X,X,X,"",X,"",X,10,10,68,-1,-1,222,18.0,12,8,12,10,8,10,12,10,0,0,12,0,0,0,0,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,6,70,44,10,53,94,186,90,90,15,-1,-1,3,1,189,Behemoth's Ring,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
28,*,Death's Head,Death's Head,1,1,0,Green,-1,-1,0b111111000101,X,X,X,X,X,X,"","","",X,"",X,15,15,90,-1,-1,503,18.0,10,12,8,8,14,10,10,10,0,8,8,0,0,0,12,10,10,10,10,10,10,800,4,Poison + Damage,0,Poison,60,-1,6,56,38,15,46,117,93,101,75,5,-1,-1,5,1,27,Storm Wing,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
29,*,Looper,Looper,1,1,5,Silver,-1,-1,0b111111110111,X,X,X,X,X,X,X,X,"",X,X,X,15,2,53,-1,-1,38,18.0,5,10,10,20,20,0,8,0,0,12,10,10,0,0,12,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,3,64,44,10,40,68,64,204,110,150,-1,-1,2,1,174,Thief's Aura,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
30,*,Loopalon,Loopalon,1,1,1,Red,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,5,23,434,-1,-1,124,18.0,5,0,20,20,10,10,8,10,0,12,12,12,0,0,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,6,68,71,10,59,101,98,353,110,150,-1,-1,2,1,210,Black Map,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
31,*,Tsurak,Tsurak,1,1,3,Blue,-1,-1,0b111111111101,X,X,X,X,X,X,X,X,X,X,"",X,10,291,71,-1,-1,177,18.0,11,9,11,10,9,10,20,20,20,0,20,0,0,0,20,10,10,10,10,10,10,500,69,Sleep + Damage,3,Sleep,50,-1,27,100,50,5,113,216,151,151,80,20,-1,-1,2,1,185,Wind Gem Ring,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
32,*,Enforcer,Enforcer,1,1,4,Yellow,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,10,368,192,-1,-1,688,18.0,9,10,10,11,9,11,9,11,10,11,10,0,0,0,9,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,22,83,71,10,93,226,218,208,95,15,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
33,*,Serpentis,Serpantis,3,3,0,Green,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,20,54,144,-1,-1,1452,18.0,10,12,8,8,12,10,10,10,10,8,8,8,0,0,12,10,10,10,10,10,10,1000,72,Fatigue + Damage,6,Fatigue,40,-1,8,126,59,15,53,154,119,179,85,10,-1,-1,4,1,244,Magic Droplet,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
34,*,Dralnog,Dralnog,1,1,0,Green,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,10,1,24,-1,-1,312,18.0,0,13,10,7,7,13,0,7,10,7,10,10,0,0,7,10,10,10,10,10,10,500,4,Poison + Damage,0,Poison,80,-1,4,21,32,15,32,77,70,63,75,50,-1,-1,2,1,182,Ivy Band,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
34,epevent.evp,Dralnog,Dralnog,1,1,0,Green,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,10,1,24,-1,-1,312,18.0,0,13,10,7,7,13,0,7,10,7,10,10,0,0,7,10,10,10,10,10,10,500,4,Poison + Damage,0,Poison,80,-1,4,21,32,15,32,77,70,63,75,50,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
35,*,Que'lak,Que'lak,1,1,3,Blue,-1,-1,0b111111110111,X,X,X,X,X,X,X,X,"",X,X,X,5,20,81,-1,-1,539,18.0,12,8,12,10,8,10,12,10,8,10,12,12,0,0,8,10,10,10,10,10,10,550,-1,None,0,Poison,0,-1,9,123,64,5,54,125,131,98,85,10,-1,-1,1,1,275,Sacri Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
36,*,Pinalisk,Pinalisk,1,1,0,Green,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,15,22,86,-1,-1,288,18.0,10,12,8,8,12,10,10,10,20,8,8,0,0,0,12,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,7,65,75,20,49,119,198,135,95,15,-1,-1,2,1,132,Victory Mail,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
37,*,Crylbeast,Crylbeast,1,1,0,Green,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,15,470,133,-1,-1,355,18.0,10,11,9,9,11,10,9,10,10,9,9,10,0,0,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,30,136,63,15,171,259,190,190,110,30,-1,-1,1,1,264,Sylph Seed,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
38,*,Slothstra,Slothstra,3,3,3,Blue,-1,-1,0b111111110111,X,X,X,X,X,X,X,X,"",X,X,X,25,68,291,-1,-1,1606,18.0,12,8,12,10,8,10,12,5,5,10,0,0,0,0,8,10,10,10,10,10,10,2500,70,Confusion + Damage,4,Confusion,40,-1,9,76,96,15,48,170,134,96,85,5,-1,-1,10,1,186,Eye of Truth,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
39,*,Polraxis,Polraxis,1,1,0,Green,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,30,29,109,-1,-1,244,18.0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,500,8,Stone + Damage,2,Stone,70,-1,9,76,76,30,56,143,451,81,120,10,-1,-1,10,1,244,Magic Droplet,2,1,184,Gem of Fluidity,1,1,258,Moonberry,-1,-1,-1,None
40,*,Roseln,Roseln,3,3,3,Blue,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,10,44,231,-1,-1,1536,18.0,12,8,12,10,8,10,12,10,8,0,12,0,0,0,10,10,10,10,10,10,10,1000,-1,None,0,Poison,0,-1,8,73,69,10,56,145,132,132,80,5,-1,-1,2,1,262,Zaal Seed,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
41,*,Elooper,Elooper,1,1,0,Green,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,5,39,599,-1,-1,76,18.0,10,12,8,8,12,10,8,10,12,8,8,8,0,0,12,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,7,84,88,10,79,131,118,483,110,150,-1,-1,4,1,210,Black Map,1,1,263,Dexus Seed,1,1,258,Moonberry,-1,-1,-1,None
42,*,Grapor,Grapor,1,1,0,Green,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,5,9,129,-1,-1,40,18.0,10,20,5,5,20,10,100,100,100,100,100,0,0,0,100,10,10,10,10,10,10,520,-1,None,0,Poison,0,-1,23,86,64,10,106,180,194,194,85,20,-1,-1,100,1,358,Grapor Meat,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
43,*,Sphyrus,Sphyrus,1,1,3,Blue,-1,-1,0b011111000000,"",X,X,X,X,X,"","","","","","",5,627,177,-1,-1,501,18.0,11,9,11,10,9,10,11,10,10,10,11,0,0,0,9,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,30,108,81,5,146,244,244,244,80,0,-1,-1,1,1,272,Wevlen Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
44,*,Iridzu,Iridzu,1,1,0,Green,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,10,386,117,-1,-1,358,18.0,10,11,9,9,11,10,14,15,15,14,14,15,0,0,16,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,27,124,70,5,145,227,210,210,100,25,-1,-1,1,1,281,Slipara Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
