Entry ID,Magic EXP,Chara. #0 ID,[Chara. #0 name],Chara. #0 X,Chara. #0 Z,Chara. #1 ID,[Chara. #1 name],Chara. #1 X,Chara. #1 Z,Chara. #2 ID,[Chara. #2 name],Chara. #2 X,Chara. #2 Z,Chara. #3 ID,[Chara. #3 name],Chara. #3 X,Chara. #3 Z,Enemy #0 ID,[JP enemy #0 name],Enemy #0 X,Enemy #0 Z,Enemy #1 ID,[JP enemy #1 name],Enemy #1 X,Enemy #1 Z,Enemy #2 ID,[JP enemy #2 name],Enemy #2 X,Enemy #2 Z,Enemy #3 ID,[JP enemy #3 name],Enemy #3 X,Enemy #3 Z,Enemy #4 ID,[JP enemy #4 name],Enemy #4 X,Enemy #4 Z,Enemy #5 ID,[JP enemy #5 name],Enemy #5 X,Enemy #5 Z,Enemy #6 ID,[JP enemy #6 name],Enemy #6 X,Enemy #6 Z,Initiative,Defeat cond. ID,[Defeat cond. name],Escape cond. ID,[Escape cond. name],BGM ID
0,1,0,Vyse,4,6,1,Aika,6,6,-1,None,-1,-1,-1,None,-1,-1,165,Spell Warden,3,2,166,Spell Warden,7,2,0,Soldier,4,3,0,Soldier,6,3,0,Soldier,5,4,255,None,-1,-1,255,None,-1,-1,14,1,May try again,1,Cannot escape,60
1,1,0,Vyse,4,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,167,Royal Guard,5,2,1,Guard,3,3,1,Guard,7,3,1,Guard,4,4,1,Guard,6,4,1,Guard,5,5,255,None,-1,-1,14,1,May try again,1,Cannot escape,60
2,2,0,Vyse,6,6,1,Aika,4,8,-1,None,-1,-1,-1,None,-1,-1,128,Antonio,2,2,169,Kantor,6,0,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,18,1,May try again,1,Cannot escape,60
3,2,0,Vyse,4,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,129,Sentinel,4,2,2,Seeker,2,4,2,Seeker,8,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,23,1,May try again,1,Cannot escape,60
4,2,0,Vyse,5,8,1,Aika,3,9,3,Drachma,7,9,-1,None,-1,-1,130,Bleigock,4,1,34,Dralnog,2,4,34,Dralnog,8,4,34,Dralnog,3,5,34,Dralnog,7,5,255,None,-1,-1,255,None,-1,-1,33,1,May try again,1,Cannot escape,60
5,2,0,Vyse,5,8,1,Aika,3,9,3,Drachma,7,9,-1,None,-1,-1,131,Executioner,4,1,7,Spell Warden,2,2,7,Spell Warden,8,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,35,1,May try again,1,Cannot escape,60
6,0,0,Vyse,5,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,132,Galcian,5,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,37,0,Must not lose,1,Cannot escape,61
7,1,0,Vyse,5,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,72,Patrol Guard,5,3,72,Patrol Guard,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,37,0,Must not lose,0,Can escape,58
8,1,0,Vyse,5,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,72,Patrol Guard,5,3,7,Spell Warden,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,37,0,Must not lose,0,Can escape,58
9,2,0,Vyse,4,8,1,Aika,5,9,-1,None,-1,-1,-1,None,-1,-1,133,Royal Guard,5,5,133,Royal Guard,4,4,7,Spell Warden,5,4,7,Spell Warden,4,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,39,1,May try again,1,Cannot escape,60
10,4,0,Vyse,5,8,1,Aika,3,9,2,Fina,7,9,-1,None,-1,-1,134,Rockwyrm,4,3,24,Magma Tiki,2,6,24,Magma Tiki,5,6,24,Magma Tiki,8,6,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,41,1,May try again,1,Cannot escape,60
11,1,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,17,Tsirat,2,4,17,Tsirat,8,4,17,Tsirat,3,3,17,Tsirat,5,3,17,Tsirat,7,3,17,Tsirat,4,2,17,Tsirat,6,2,39,0,Must not lose,0,Can escape,58
12,2,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,73,Mine Patrol,4,2,73,Mine Patrol,6,2,73,Mine Patrol,2,1,73,Mine Patrol,8,1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,42,1,May try again,1,Cannot escape,58
13,4,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,136,Antonio 2,4,2,170,Kantor,0,1,171,Kantor,8,1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,44,1,May try again,1,Cannot escape,60
14,4,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,137,Rik'talish,4,1,172,Polraxis,2,2,174,Polraxis,8,2,175,Polraxis,5,5,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,48,1,May try again,1,Cannot escape,60
15,2,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,155,Gordo,5,1,156,Mad Chef,5,3,156,Mad Chef,3,1,156,Mad Chef,7,1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,94,1,May try again,1,Cannot escape,60
16,2,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,3,Drachma,7,7,32,Enforcer,4,3,32,Enforcer,6,3,32,Enforcer,3,4,32,Enforcer,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,98,1,May try again,1,Cannot escape,58
17,4,0,Vyse,6,4,1,Aika,4,4,2,Fina,4,6,5,Gilder,6,6,138,Sinistra,1,1,139,Destra,7,7,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,104,1,May try again,1,Cannot escape,60
18,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,140,Ramirez,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,106,2,May lose,1,Cannot escape,61
19,4,0,Vyse,4,8,1,Aika,5,5,5,Gilder,6,8,-1,None,-1,-1,141,Vigoro,5,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,108,1,May try again,1,Cannot escape,61
20,4,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,142,Dralkor Tank,4,1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,112,1,May try again,1,Cannot escape,60
21,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,145,Jao,4,3,146,Mao,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,128,1,May try again,1,Cannot escape,60
22,6,0,Vyse,4,7,1,Aika,6,7,2,Fina,2,8,4,Enrique,8,8,144,Tortigar,4,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,132,1,May try again,1,Cannot escape,60
23,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,147,Muraji,5,1,60,Soldier,5,3,60,Soldier,4,3,60,Soldier,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,134,1,May try again,1,Cannot escape,60
24,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,148,Veltarn,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,144,1,May try again,1,Cannot escape,60
25,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,150,Dracoslyth,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,0,0,Must not lose,0,Can escape,60
26,0,0,Vyse,5,7,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,152,Ramirez,5,3,100,Shadow,3,3,100,Shadow,7,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,158,2,May lose,1,Cannot escape,61
27,8,0,Vyse,4,7,1,Aika,5,7,2,Fina,3,8,5,Gilder,6,8,149,Vigoro,5,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,160,1,May try again,1,Cannot escape,61
28,8,0,Vyse,4,7,1,Aika,6,7,2,Fina,7,9,5,Gilder,6,8,154,Eliminator,4,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,160,1,May try again,1,Cannot escape,60
29,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,151,Galcian,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,0,0,Must not lose,0,Can escape,61
30,10,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,153,Ramirez,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,168,1,May try again,1,Cannot escape,61
31,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,157,Ramirez,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,170,1,May try again,1,Cannot escape,62
32,2,0,Vyse,5,6,1,Aika,4,7,2,Fina,6,7,-1,None,-1,-1,14,Zivilyn Bane,5,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,38,1,May try again,1,Cannot escape,58
33,2,0,Vyse,5,6,1,Aika,4,7,2,Fina,6,7,-1,None,-1,-1,24,Magma Tiki,5,3,24,Magma Tiki,3,4,24,Magma Tiki,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,38,1,May try again,1,Cannot escape,58
34,4,0,Vyse,5,7,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,100,Shadow,5,3,100,Shadow,3,3,100,Shadow,7,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,158,1,May try again,1,Cannot escape,58
35,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,59,Alusphere,1,2,59,Alusphere,7,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,130,0,Must not lose,1,Cannot escape,58
36,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,9,4,Enrique,7,9,59,Alusphere,2,2,59,Alusphere,6,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,130,0,Must not lose,1,Cannot escape,58
37,1,0,Vyse,4,7,1,Aika,6,7,-1,None,-1,-1,-1,None,-1,-1,4,Grouder,4,1,3,Marocca,2,5,3,Marocca,8,5,3,Marocca,3,4,3,Marocca,7,4,255,None,-1,-1,255,None,-1,-1,24,1,May try again,1,Cannot escape,58
38,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,60,Soldier,4,3,60,Soldier,6,3,60,Soldier,3,2,60,Soldier,7,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,134,0,Must not lose,0,Can escape,59
39,2,0,Vyse,4,7,1,Aika,6,7,2,Fina,2,8,3,Drachma,8,8,111,Zivilyn Bane,4,3,111,Zivilyn Bane,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,46,1,May try again,1,Cannot escape,58
40,2,0,Vyse,4,8,5,Gilder,6,8,-1,None,-1,-1,-1,None,-1,-1,112,Zivilyn Bane,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,102,1,May try again,1,Cannot escape,58
41,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,113,Zivilyn Bane,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,110,1,May try again,1,Cannot escape,58
42,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,114,Zivilyn Bane,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,122,1,May try again,1,Cannot escape,59
43,3,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,4,Enrique,6,9,115,Zivilyn Bane,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,130,1,May try again,1,Cannot escape,58
44,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,116,Zivilyn Bane,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,142,1,May try again,1,Cannot escape,58
45,5,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,3,Drachma,7,7,117,Zivilyn Bane,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,166,1,May try again,1,Cannot escape,58
46,5,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,4,Enrique,7,7,117,Zivilyn Bane,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,166,1,May try again,1,Cannot escape,58
47,5,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,5,Gilder,7,7,117,Zivilyn Bane,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,166,1,May try again,1,Cannot escape,58
48,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,151,Galcian,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,0,0,Must not lose,0,Can escape,61
49,10,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,153,Ramirez,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,168,1,May try again,1,Cannot escape,61
50,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,157,Ramirez,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,170,1,May try again,1,Cannot escape,62
51,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,151,Galcian,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,164,1,May try again,1,Cannot escape,61
52,10,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,153,Ramirez,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,168,1,May try again,1,Cannot escape,61
53,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,157,Ramirez,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,170,1,May try again,1,Cannot escape,62
54,2,0,Vyse,4,7,5,Gilder,6,7,-1,None,-1,-1,-1,None,-1,-1,102,Officer,4,2,102,Officer,6,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,106,0,Must not lose,1,Cannot escape,58
55,2,0,Vyse,4,8,1,Aika,6,9,5,Gilder,3,9,-1,None,-1,-1,102,Officer,3,1,102,Officer,6,1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,106,0,Must not lose,1,Cannot escape,58
56,3,0,Vyse,4,7,1,Aika,6,7,2,Fina,3,6,4,Enrique,7,6,71,Tenkou,4,3,71,Tenkou,6,3,71,Tenkou,3,4,71,Tenkou,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,134,0,Must not lose,0,Can escape,58
57,3,0,Vyse,4,7,1,Aika,6,7,2,Fina,3,6,4,Enrique,7,6,71,Tenkou,4,3,71,Tenkou,6,3,71,Tenkou,3,4,71,Tenkou,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,134,0,Must not lose,0,Can escape,58
58,3,0,Vyse,4,7,1,Aika,6,7,2,Fina,3,6,4,Enrique,7,6,71,Tenkou,4,3,71,Tenkou,6,3,71,Tenkou,3,4,71,Tenkou,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,134,0,Must not lose,0,Can escape,58
59,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,Destroyer,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,108,0,Must not lose,0,Can escape,-1
60,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,Destroyer,3,2,75,Destroyer,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,108,0,Must not lose,0,Can escape,-1
61,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,Destroyer,4,2,75,Destroyer,3,3,75,Destroyer,5,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,108,0,Must not lose,0,Can escape,-1
62,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,Destroyer,3,2,75,Destroyer,5,2,75,Destroyer,2,3,75,Destroyer,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,108,0,Must not lose,0,Can escape,-1
63,2,0,Vyse,5,6,1,Aika,4,7,2,Fina,6,7,-1,None,-1,-1,24,Magma Tiki,4,2,24,Magma Tiki,6,2,24,Magma Tiki,2,3,24,Magma Tiki,8,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,38,1,May try again,1,Cannot escape,-1
64,2,0,Vyse,5,7,1,Aika,4,8,2,Fina,6,8,-1,None,-1,-1,24,Magma Tiki,5,2,24,Magma Tiki,3,3,24,Magma Tiki,7,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,38,1,May try again,1,Cannot escape,-1
65,3,0,Vyse,5,7,1,Aika,6,7,2,Fina,4,8,4,Enrique,7,8,105,Red Guard,4,3,105,Red Guard,7,3,105,Red Guard,3,2,105,Red Guard,8,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,134,0,Must not lose,0,Can escape,-1
66,4,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,108,Hydra Elite,4,1,108,Hydra Elite,2,4,108,Hydra Elite,6,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,162,1,May try again,1,Cannot escape,-1
67,3,0,Vyse,4,6,1,Aika,5,6,2,Fina,3,6,4,Enrique,6,6,106,Elite Guard,3,3,106,Elite Guard,4,3,106,Elite Guard,5,3,106,Elite Guard,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,150,0,Must not lose,0,Can escape,-1
68,3,0,Vyse,4,6,1,Aika,5,6,2,Fina,3,6,4,Enrique,6,6,106,Elite Guard,3,3,106,Elite Guard,4,3,106,Elite Guard,5,3,106,Elite Guard,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,150,0,Must not lose,0,Can escape,-1
69,20,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,121,Elcian,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,210,1,May try again,0,Can escape,-1
70,20,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,121,Elcian,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,210,1,May try again,0,Can escape,-1
71,20,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,121,Elcian,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,210,1,May try again,0,Can escape,-1
72,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,198,Rupee,5,2,208,Barta,5,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,42,1,May try again,1,Cannot escape,-1
73,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,199,Rupee,5,2,209,Barta,5,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,58,1,May try again,1,Cannot escape,-1
74,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,200,Rupee,5,2,210,Barta,5,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,82,1,May try again,1,Cannot escape,-1
75,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,201,Rupee,5,2,211,Barta,5,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,102,1,May try again,1,Cannot escape,-1
76,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,202,Rupee,5,2,212,Barta,5,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,122,1,May try again,1,Cannot escape,-1
77,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,198,Rupee,5,2,208,Barta,5,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,42,1,May try again,1,Cannot escape,-1
78,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,199,Rupee,5,2,209,Barta,5,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,58,1,May try again,1,Cannot escape,-1
79,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,200,Rupee,5,2,210,Barta,5,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,82,1,May try again,1,Cannot escape,-1
80,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,201,Rupee,5,2,211,Barta,5,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,102,1,May try again,1,Cannot escape,-1
